id	age	snps	nea_ancestry
UstIshim	45020	778997	0.03
Oase1	39610	59854	0.075
Kostenki14	37470	632941	0.028
GoyetQ116_1	34795		
Muierii2	33300	22194	0.03
Paglicci133	32895		
Cioclovina1	32435		
Kostenki12	32415	13387	0.026
KremsWA3	30970		
Vestonice13	30870	35999	0.033
Vestonice15	30870	5857	0.027
Vestonice14	30870		
Pavlov1	30260	9331	0.031
Vestonice43	30010	38765	0.029
Vestonice16	30010	268246	0.028
Ostuni2	28975	2746	0.023
GoyetQ53_1	27975		
Paglicci108	27750		
Ostuni1	27620	88493	0.026
GoyetQ376_19	27515		
GoyetQ56_16	26320		
Malta1	24305	437324	0.025
ElMiron	18720	250151	0.028
AfontovaGora3	16710	96274	0.033
AfontovaGora2	16710	37289	0.023
Rigney1	15465		
HohleFels49	15130		
GoyetQ_2	15005		
Brillenhohle	14780		
HohleFels79	14670		
Burkhardtshohle	14615		
Villabruna	13980	425288	0.033
Bichon	13665	769643	0.027
Satsurblia	13255	542706	0.02
Rochedane	12960		
Iboussieres39	11725		
Continenza	10855	1734	0.029
Ranchot88	10085		
LesCloseaux13	9900		
Kotias	9720	779372	0.021
Falkenstein	9200		
Karelia	8375	582602	0.022
Bockstein	8265		
Ofnet	8245		
Chaudardes1	8205		
Loschbour	8050	774362	0.026
LaBrana1	7815	642425	0.027
Hungarian.KO1	7660	439528	0.024
Motala12	7625	655873	0.023
BerryAuBac	7245		
Stuttgart	7140	768034	0.021
English	0		
French	0	782613	0.017
Sardinian	0	782575	0.017
