id	age	snps	nea_ancestry
UstIshim	45020	2137615	0.044
Oase1	39610	285076	0.099
Kostenki14	37470	1774156	0.036
GoyetQ116_1	34795	846983	0.034
Muierii2	33300	98618	0.052
Paglicci133	32895	82330	0.041
Cioclovina1	32435	12784	0.041
Kostenki12	32415	61228	0.019
KremsWA3	30970	203986	0.039
Vestonice13	30870	139568	0.046
Vestonice15	30870	30900	0.043
Vestonice14	30870	5677	0.026
Pavlov1	30260	57005	0.044
Vestonice43	30010	163946	0.069
Vestonice16	30010	945292	0.041
Ostuni2	28975	17017	0.016
GoyetQ53_1	27975	12567	0.048
Paglicci108	27750	4330	0.034
Ostuni1	27620	369313	0.042
GoyetQ376_19	27515	25400	0.065
GoyetQ56_16	26320	9988	0.036
Malta1	24305	1439501	0.029
ElMiron	18720	797714	0.036
AfontovaGora3	16710	286355	0.03
AfontovaGora2	16710	143751	0.022
Rigney1	15465	35600	0.008
HohleFels49	15130	63151	0.023
GoyetQ_2	15005	72263	0.017
Brillenhohle	14780	13459	0.025
HohleFels79	14670	11211	0.017
Burkhardtshohle	14615	38376	0.017
Villabruna	13980	1215433	0.027
Bichon	13665	2116782	0.029
Satsurblia	13255	1460368	0.015
Rochedane	12960	237390	0.019
Iboussieres39	11725	9659	0.064
Continenza	10855	11717	0.041
Ranchot88	10085	414863	0.029
LesCloseaux13	9900	8635	-0.03
Kotias	9720	2133968	0.018
Falkenstein	9200	64428	0.048
Karelia	8375	1754410	0.019
Bockstein	8265	21977	0.057
Ofnet	8245	6263	0.098
Chaudardes1	8205	92657	0.019
Loschbour	8050	2091584	0.025
LaBrana1	7815	1884745	0.019
Hungarian.KO1	7660	1410303	0.021
Motala12	7625	1874519	0.025
BerryAuBac	7245	54690	0.025
Stuttgart	7140	2078724	0.019
English	0	2144502	0.015
French	0	2144502	0.015
Sardinian	0	2144502	0.012
